book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Lam	1	0		ΚAI ἐγένετο μετὰ τὸ αἰχμαλωτισθῆναι τὸν Ἰσραὴλ καὶ Ἰερουσαλήμ ἐρημωθῆναι ἐκάθισεν Ἱερεμίας κλαίων, καὶ ἐθρήνησεν τὸν θρῆνον τοῦτον ἐπὶ Ἰερουσαλὴμ καὶ εἶπεν				
Lam	1	1	אֵיכָה יָשְׁבָה בָדָד הָעִיר רַבָּתִי עָם הָיְתָה כְּאַלְמָנָה רַבָּתִי בַגּוֹיִם שָׂרָתִי בַּמְּדִינוֹת הָיְתָה לָמַס ׃ ס	Ἄλεφ. Πῶς ἐκάθισεν μόνη ἡ πόλις ἡ πεπληθυμμένη λαῶν; ἐγενήθη ὡς χήρα πεπληθυμμένη ἐν ἔθνεσιν, ἄρχουσα ἐν χώραις ἐγενήθη εἰς φόρον.	ALEPH quomodo sedit sola civitas plena populo facta est quasi vidua domina gentium princeps provinciarum facta est sub tributo	Prologus Et factum est, postquam in captivitatem redactus est Isral, et Jerusalem deserta est, sedit Jeremias propheta flens, et planxit lamentatione hac in Jerusalem: et amaro animo suspirans et ejulans, dixit: [ Aleph Quomodo sedet sola civitas plena populo! Facta est quasi vidua domina gentium; princeps provinciarum facta est sub tributo.		How doth the city sit solitary, that was full of people! how is she become as a widow! she that was great among the nations, and princess among the provinces, how is she become tributary!
Lam	1	2	בָּכוֹ תִבְכֶּה בַּלַּיְלָה וְדִמְעָתָהּ עַל לֶחֱיָהּ אֵין־לָהּ מְנַחֵם מִכָּל־אֹהֲבֶיהָ כָּל־רֵעֶיהָ בָּגְדוּ בָהּ הָיוּ לָהּ לְאֹיְבִים ׃ ס	Ἄλεφ. Κλαίουσα ἔκλαυσεν ἐν νυκτί, καὶ τὰ δάκρυα αὐτῆς ἐπὶ τῶν σιαγόνων αὐτῆς, καὶ οὐχ ὑπάρχει ὁ παρακαλῶν αὐτὴν ἀπὸ πάντων τῶν ἀγαπώντων αὐτὴν· πάντες οἱ φιλοῦντες αὐτὴν ἠθέτησαν ἐν αὐτῇ, ἐγένοντο αὐτή εἰς ἐχθρούς.	BETH plorans ploravit in nocte et lacrimae eius in maxillis eius non est qui consoletur eam ex omnibus caris eius omnes amici eius spreverunt eam et facti sunt ei inimici	Beth Plorans ploravit in nocte, et lacrim ejus in maxillis ejus: non est qui consoletur eam, et omnibus caris ejus; omnes amici ejus spreverunt eam, et facti sunt ei inimici.		She weepeth sore in the night, and her tears are on her cheeks: among all her lovers she hath none to comfort her: all her friends have dealt treacherously with her, they are become her enemies.
Lam	1	3	גָּלְתָה יְהוּדָה מֵעֹנִי וּמֵרֹב עֲבֹדָה הִיא יָשְׁבָה בַגּוֹיִם לֹא מָצְאָה מָנוֹחַ כָּל־רֹדְפֶיהָ הִשִּׂיגוּהָ בֵּין הַמְּצָרִים ׃ ס	Γἱμελ Μετῳκίσθη Ἰουδαία ἀπὸ ταπεινώσεως αὐτῆς καὶ ἀπὸ πλήθους δουλείας αὐτῆς· ἐκάθισεν ἐν ἔθνεσιν, οὐχ εἶρεν ἀνάπαυσιν· πάντες οἱ καταδιώκοντες αὐτὴν κατέλαβον αὐτὴν ἀνὰ μέσον τῶν θλιβόντων.	GIMEL migravit Iuda propter adflictionem et multitudinem servitutis habitavit inter gentes nec invenit requiem omnes persecutores eius adprehenderunt eam inter angustias	Ghimel Migravit Judas propter afflictionem, et multitudinem servitutis; habitavit inter gentes, nec invenit requiem: omnes persecutores ejus apprehenderunt eam inter angustias.		Judah is gone into captivity because of affliction, and because of great servitude: she dwelleth among the heathen, she findeth no rest: all her persecutors overtook her between the straits.
Lam	1	4	דַּרְכֵי צִיּוֹן אֲבֵלוֹת מִבְּלִי בָּאֵי מוֹעֵד כָּל־שְׁעָרֶיהָ שׁוֹמֵמִין כֹּהֲנֶיהָ נֶאֱנָחִים בְּתוּלֹתֶיהָ נוּגוֹת וְהִיא מַר־לָהּ ׃ ס	Δάλεθ. Ὁδοὶ Σειὼν πενθοῦσιν παρὰ τὸ μὴ εἰναι ἐρχομένους ἐν ἑορτῇ· πᾶσαι αἱ πύλαι αὐτῆς ἠφανισμέναι, οἱ ἱερεῖς αὐτῆς ἀναστενάζουσιν, αἱ παρθένοι αὐτῆς ἀγόμεναι, καὶ αὐτὴ πικραινομένη ἐν ἑαυτῇ.	DELETH viae Sion lugent eo quod non sint qui veniant ad sollemnitatem omnes portae eius destructae sacerdotes eius gementes virgines eius squalidae et ipsa oppressa amaritudine	Daleth Vi Sion lugent, eo quod non sint qui veniant ad solemnitatem: omnes port ejus destruct, sacerdotes ejus gementes; virgines ejus squalid, et ipsa oppressa amaritudine.		The ways of Zion do mourn, because none come to the solemn feasts: all her gates are desolate: her priests sigh, her virgins are afflicted, and she is in bitterness.
Lam	1	5	הָיוּ צָרֶיהָ לְרֹאשׁ אֹיְבֶיהָ שָׁלוּ כִּי־יְהוָה הוֹגָהּ עַל רֹב־פְּשָׁעֶיהָ עוֹלָלֶיהָ הָלְכוּ שְׁבִי לִפְנֵי־צָר ׃ ס	Ἥ Ἐγένοντο οἱ θλίκδοντες αὐτὴν εἰς κεφαλήν. καὶ οἱ ἐχθροὶ αὐτῆς εὐθηνοῦσαν, ὅτι Κύριος ἐταπείνωσεν ἐπὶ τὸ πλῆθος τῶν ἀσεβειῶν αὐτῆς· τὰ νήπια αὐτῆς ἐπορεύθησαν ἐν αίχμαλαωσίᾳ κατὰ πρόκωποι θλίβοντος.	HE facti sunt hostes eius in capite inimici illius locupletati sunt quia Dominus locutus est super eam propter multitudinem iniquitatum eius parvuli eius ducti sunt captivi ante faciem tribulantis	He Facti sunt hostes ejus in capite; inimici ejus locupletati sunt: quia Dominus locutus est super eam propter multitudinem iniquitatum ejus. Parvuli ejus ducti sunt in captivitatem ante faciem tribulantis.		Her adversaries are the chief, her enemies prosper; for the Lord hath afflicted her for the multitude of her transgressions: her children are gone into captivity before the enemy.
Lam	1	6	וַיֵּצֵא מִן בַּת־צִיּוֹן כָּל־הֲדָרָהּ הָיוּ שָׂרֶיהָ כְּאַיָּלִים לֹא־מָצְאוּ מִרְעֶה וַיֵּלְכוּ בְלֹא־כֹחַ לִפְנֵי רוֹדֵף ׃ ס	Οὐαύ Καὶ ἐξήρθη ἐκ θυγατρὸς Σειὼν πᾶσα ἡ εὐπρέπεια αὐτῆς· ἐγένοντο οἱ ἄρχοντες αὐτῆς ὡς κριοὶ οὐχ είρίσκοντες νομὴν. καὶ ἐπορεύοντο ἐν οὐκ ἰσχύι κατὰ πρόσωπον διώκοντος.	VAV et egressus est a filia Sion omnis decor eius facti sunt principes eius velut arietes non invenientes pascuam et abierunt absque fortitudine ante faciem subsequentis	Vau Et egressus est a filia Sion omnis decor ejus; facti sunt principes ejus velut arietes non invenientes pascua, et abierunt absque fortitudine ante faciem subsequentis.		And from the daughter of Zion all her beauty is departed: her princes are become like harts that find no pasture, and they are gone without strength before the pursuer.
Lam	1	7	זָכְרָה יְרוּשָׁלַםִ יְמֵי עָנְיָהּ וּמְרוּדֶיהָ כֹּל מַחֲמֻדֶיהָ אֲשֶׁר הָיוּ מִימֵי קֶדֶם בִּנְפֹל עַמָּהּ בְּיַד־צָר וְאֵין עוֹזֵר לָהּ רָאוּהָ צָרִים שָׂחֲקוּ עַל מִשְׁבַּתֶּהָ ׃ ס	Ζάιν. Ἐμνήσθη Ἰερουσαλὴμ ἡμερῶν ταπεινώσεως αὐτῆς καὶ ἀπωσμῶι αὐτῆς, πάντα τὰ ἐπιθυμητὰ αὐτῆς ὅσα ἤν ἐξ ἡμερῶν ἀρχαίων. ἐν τῷ πεσεῖν τὸν λαὸν αὐτῆς εἰς χεῖρας θλίβοντος, καὶ οὐκ ἦι ὁ βοηθῶν αὐτῇ· ἰδόντες οἱ ἐχθροὶ αὐτῆς ἐγέλασαν ἐπὶ κατοικεσίᾳ αὐτῆς.	ZAI recordata est Hierusalem dierum adflictionis suae et praevaricationis omnium desiderabilium suorum quae habuerat a diebus antiquis cum caderet populus eius in manu hostili et non esset auxiliator viderunt eam hostes et deriserunt sabbata eius	Zain Recordata est Jerusalem dierum afflictionis su, et prvaricationis, omnium desiderabilium suorum, qu habuerat a diebus antiquis, cum caderet populus ejus in manu hostili, et non esset auxiliator: viderunt eam hostes, et deriserunt sabbata ejus.		Jerusalem remembered in the days of her affliction and of her miseries all her pleasant things that she had in the days of old, when her people fell into the hand of the enemy, and none did help her: the adversaries saw her, and did mock at her sabbaths.
Lam	1	8	חֵטְא חָטְאָה יְרוּשָׁלַםִ עַל־כֵּן לְנִידָה הָיָתָה כָּל־מְכַבְּדֶיהָ הִזִּילוּהָ כִּי־רָאוּ עֶרְוָתָהּ גַּם־הִיא נֶאֶנְחָה וַתָּשָׁב אָחוֹר ׃ ס	Ἤθ. ʼΑμαρτίαν ἥμαρτεν Ἰερουσαλήμ, διὰ τοῦτο εἰς σάλον ἐγένετο· πάντες οἱ δοξάζοντες αὐτὴν ἐταπείνωσαν αὐτήν· ἴδον γὰρ τὴν ἀσχημοσύνην αὐτῆς, καί γε αὐτὴ στενάζουσα καὶ ἀπεστράφη ὀπίσω.	HETH peccatum peccavit Hierusalem propterea instabilis facta est omnes qui glorificabant eam spreverunt illam quia viderunt ignominiam eius ipsa autem gemens et conversa retrorsum	Heth Peccatum peccavit Jerusalem, propterea instabilis facta est; omnes qui glorificabant eam spreverunt illam, quia viderunt ignominiam ejus: ipsa autem gemens conversa est retrorsum.		Jerusalem hath grievously sinned; therefore she is removed: all that honoured her despise her, because they have seen her nakedness: yea, she sigheth, and turneth backward.
Lam	1	9	טֻמְאָתָהּ בְּשׁוּלֶיהָ לֹא זָכְרָה אַחֲרִיתָהּ וַתֵּרֶד פְּלָאִים אֵין מְנַחֵם לָהּ רְאֵה יְהוָה אֶת־עָנְיִי כִּי הִגְדִּיל אוֹיֵב ׃ ס	Τήθ. Ἀκαθαρσία αὐτῆς πρὸς ποδῶν αὐτῆς, οὐκ ἐμνήσθη ἔσχατα αὐτῆς καὶ κατεβίβασεν ὑπέρογκα· οὐκ ἔστιν ὁ παρακαλῶν αὐτήν. ἴδὲ, Κύριε, τὴν ταπείνωσίν μου, ὅτι ἐμεγαλύνθη ἐχθρός.	TETH sordes eius in pedibus eius nec recordata est finis sui deposita est vehementer non habens consolatorem vide Domine adflictionem meam quoniam erectus est inimicus	Teth Sordes ejus in pedibus ejus, nec recordata est finis sui; deposita est vehementer, non habens consolatorem. Vide, Domine, afflictionem meam, quoniam erectus est inimicus.		Her filthiness is in her skirts; she remembereth not her last end; therefore she came down wonderfully: she had no comforter. O Lord, behold my affliction: for the enemy hath magnified himself.
