book	chapter	verse	wlc	lxx	vulg	clem	tr	kjv
Titus	1	1			Paulus servus Dei apostolus autem Iesu Christi secundum fidem electorum Dei et agnitionem veritatis quae secundum pietatem est	Paulus servus Dei, Apostolus autem Jesu Christi secundum fidem electorum Dei, et agnitionem veritatis, qu secundum pietatem est	παυλος δουλος θεου αποστολος δε ιησου χριστου κατα πιστιν εκλεκτων θεου και επιγνωσιν αληθειας της κατ ευσεβειαν 	Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;
Titus	1	2			in spem vitae aeternae quam promisit qui non mentitur Deus ante tempora saecularia	in spem vit tern, quam promisit qui non mentitur, Deus, ante tempora scularia:	επ ελπιδι ζωης αιωνιου ην επηγγειλατο ο αψευδης θεος προ χρονων αιωνιων 	In hope of eternal life, which God, that cannot lie, promised before the world began;
Titus	1	3			manifestavit autem temporibus suis verbum suum in praedicatione quae credita est mihi secundum praeceptum salvatoris nostri Dei	manifestavit autem temporibus suis verbum suum in prdicatione, qu credita est mihi secundum prceptum Salvatoris nostri Dei:	εφανερωσεν δε καιροις ιδιοις τον λογον αυτου εν κηρυγματι ο επιστευθην εγω κατ επιταγην του σωτηρος ημων θεου 	But hath in due times manifested his word through preaching, which is committed unto me according to the commandment of God our Saviour;
Titus	1	4			Tito dilecto filio secundum communem fidem gratia et pax a Deo Patre et Christo Iesu salvatore nostro	Tito dilecto filio secundum communem fidem, gratia, et pax a Deo Patre, et Christo Jesu Salvatore nostro.	τιτω γνησιω τεκνω κατα κοινην πιστιν χαρις ελεος ειρηνη απο θεου πατρος και κυριου ιησου χριστου του σωτηρος ημων 	To Titus, mine own son after the common faith: Grace, mercy, and peace, from God the Father and the Lord Jesus Christ our Saviour.
Titus	1	5			huius rei gratia reliqui te Cretae ut ea quae desunt corrigas et constituas per civitates presbyteros sicut ego tibi disposui	Hujus rei gratia reliqui te Cret, ut ea qu desunt, corrigas, et constituas per civitates presbyteros, sicut et ego disposui tibi,	τουτου χαριν κατελιπον σε εν κρητη ινα τα λειποντα επιδιορθωση και καταστησης κατα πολιν πρεσβυτερους ως εγω σοι διεταξαμην 	For this cause left I thee in Crete, that thou shouldest set in order the things that are wanting, and ordain elders in every city, as I had appointed thee:
Titus	1	6			si quis sine crimine est unius uxoris vir filios habens fideles non in accusatione luxuriae aut non subditos	si quis sine crimine est, unius uxoris vir, filios habens fideles, non in accusatione luxuri, aut non subditos.	ει τις εστιν ανεγκλητος μιας γυναικος ανηρ τεκνα εχων πιστα μη εν κατηγορια ασωτιας η ανυποτακτα 	If any be blameless, the husband of one wife, having faithful children not accused of riot or unruly.
Titus	1	7			oportet enim episcopum sine crimine esse sicut Dei dispensatorem non superbum non iracundum non vinolentum non percussorem non turpilucri cupidum	Oportet enim episcopum sine crimine esse, sicut Dei dispensatorem: non superbum, non iracundum, non vinolentum, non percussorem, non turpis lucri cupidum:	δει γαρ τον επισκοπον ανεγκλητον ειναι ως θεου οικονομον μη αυθαδη μη οργιλον μη παροινον μη πληκτην μη αισχροκερδη 	For a bishop must be blameless, as the steward of God; not selfwilled, not soon angry, not given to wine, no striker, not given to filthy lucre;
Titus	1	8			sed hospitalem benignum sobrium iustum sanctum continentem	sed hospitalem, benignum, sobrium, justum, sanctum, continentem,	αλλα φιλοξενον φιλαγαθον σωφρονα δικαιον οσιον εγκρατη 	But a lover of hospitality, a lover of good men, sober, just, holy, temperate;
Titus	1	9			amplectentem eum qui secundum doctrinam est fidelem sermonem ut potens sit et exhortari in doctrina sana et eos qui contradicunt arguere	amplectentem eum, qui secundum doctrinam est, fidelem sermonem: ut potens sit exhortari in doctrina sana, et eos qui contradicunt, arguere.	αντεχομενον του κατα την διδαχην πιστου λογου ινα δυνατος η και παρακαλειν εν τη διδασκαλια τη υγιαινουση και τους αντιλεγοντας ελεγχειν 	Holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers.
Titus	1	10			sunt enim multi et inoboedientes vaniloqui et seductores maxime qui de circumcisione sunt	Sunt enim multi etiam inobedientes, vaniloqui, et seductores: maxime qui de circumcisione sunt:	εισιν γαρ πολλοι και ανυποτακτοι ματαιολογοι και φρεναπαται μαλιστα οι εκ περιτομης 	For there are many unruly and vain talkers and deceivers, specially they of the circumcision:
